index,Movie,Synopsis,Year,Duration,Rating,Meta Score,Genre
85, Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,1h 52m,8.5 ,57,Drama
86, Iron Man,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",2008,2h 6m,7.9 ,79,"Action,Adventure"
87, Iron Man 2,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",2010,2h 4m,6.9 ,57,Action
88, Iron Man Three,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",2013,2h 10m,7.1 ,62,"Action,Adventure"
89, It,"In the summer of 1989, a group of bullied kids band together to destroy a shape-shifting monster, which disguises itself as a clown and preys on the children of Derry, their small Maine town.",2017,2h 15m,7.3 ,69,Horror
90, It Chapter Two,"Twenty-seven years after their first encounter with the terrifying Pennywise, the Losers Club have grown up and moved away, until a devastating phone call brings them back.",2019,2h 49m,6.5 ,58,Horror
91, It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,1946,2h 10m,8.6 ,89,Romance
92, Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",2019,2h 2m,8.4 ,59,Drama
93, Jurassic Park,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,1993,2h 7m,8.2 ,68,"Action,Adventure"
94, Kill Bill: Vol,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,1h 51m,8.2 ,69,Action
95, Kimi No Na Wa,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",2016,1h 46m,8.4 ,81,Animation
96, Kung Fu Panda,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.",2008,1h 32m,7.6 ,74,Animation
97, Kung Fu Panda 2,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.",2011,1h 30m,7.2 ,67,Animation
98, La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",2016,2h 8m,8.0 ,94,Romance
99, Le fabuleux destin d'Amélie Poulain,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love.",2001,2h 2m,8.3 ,69,Romance
100, Life Is Beautiful,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1997,1h 56m,8.6 ,59,Romance
101, Logan,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",2017,2h 17m,8.1 ,77,Action
102, Love Actually,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England.",2003,2h 15m,7.6 ,55,Romance
103, Léon,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,1h 50m,8.5 ,64,"Action,Drama"
104, Mad Max: Fury Road,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",2015,2h,8.1 ,90,"Action,Adventure"
105, Madagascar,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.",2005,1h 26m,6.9 ,57,Animation
106, Man of Steel,An alien child is evacuated from his dying world and sent to Earth to live among humans. His peace is threatened when other survivors of his home planet invade Earth.,2013,2h 23m,7.1 ,55,"Action,Adventure"
107, Midsommar,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,2019,2h 28m,7.1 ,72,Horror
108, Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",2016,1h 47m,7.6 ,81,Animation
109, Mononoke-hime,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997,2h 14m,8.3 ,76,Animation
110, Monsters University,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.",2013,1h 44m,7.2 ,65,Animation
111," Monsters, Inc","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",2001,1h 32m,8.1 ,79,"Adventure,Animation"
112, Mulan,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",1998,1h 27m,7.7 ,71,Animation
113, My Neighbour Totoro,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1988,1h 26m,8.1 ,86,Animation
114, No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,2007,2h 2m,8.2 ,92,Drama
115, One Flew Over the Cuckoo's Nest,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",1975,2h 13m,8.7 ,84,Drama
116, Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019,2h 12m,8.5 ,96,Drama
